Key|Name|Region|Altitude_m|Country|Lat|Lng|Type|Notes|City_Col_Index|Col_Index|AHT|AHT_Max|AHT_Min|AR_Total|Record_Temps|Pop_Urban|GDP_Capita_City
Chisinau|Chisinau|Europe|115|Moldova, Republic of|"47°0'20.2"" N"|"28°51'27.0"" E"|2|Humid continental (hot summer, wet all year) climate|148|JA|14.6|27.5|0.9|542|-28.9|492894|1
Chittagong|Chittagong|South Asia|25|Bangladesh|"22°21'49.0"" N"|"91°48'11.9"" E"|2|Tropical monsoon climate|149|JB|30.2|32.3|26|2919.1||3176000|0
Chongqing|Chongqing|North-East Asia|265|China|"29°33'46.1"" N"|"106°33'10.8"" E"|2|Humid subtropical climate|150|JC|22|33.6|10.3|1104.4||7217000|2
Chonju|Chonju|North-East Asia|29|South Korea|"35°49'18.8"" N"|"127°8'56.4"" E"|2|Humid continental (hot summer, wet all year) / humid continental (mild summer, dry winter) climate|151|JD|18.9|31|4.4|1313.2||654040|4
Christchurch|Christchurch|Australia & New Zealand|7|New Zealand|"43°31'48"" S"|"172°37'13"" E"|2|Oceanic climate|152|JE|16.8|22.4|10.7|622.9||375000|4
Chumphon|Chumphon|South-East Asia|229|Thailand|"10°30'0.0"" N"|"99°10'0.1"" E"|2|Tropical monsoon climate|153|JF|31.9|34.5|30.1|1872.7||33522|1
Cleveland|Cleveland|North America|185|United States of America|"41°29'57.8"" N"|"81°41'44.2"" W"|2|Humid continental (hot summer, wet all year) / humid subtropical climate|154|JG|15.3|28.1|1.3|994.1||1783000|5
Cluj|Cluj|Europe|480|Romania|"46°46'0.1"" N"|"23°36'0.0"" E"|2|Humid continental (hot summer, dry winter) climate|155|JH|13.6|24.5|0.3|548|-34.2|411379|2
Cochabamba|Cochabamba|South America|2558|Bolivia|"17°22'59.9"" S"|"66°9'0.0"" W"|2|Cold semi-arid climate|156|JI|24.5|26.1|23.3|362.7||1238000|1
Coimbatore|Coimbatore|South Asia|380|India|"10°59'33.0"" N"|"76°57'41.0"" E"|2|Tropical monsoon climate|157|JJ|32.5|36.7|29.3|616.7||2481000|0
Cologne|Cologne|Europe|46|Germany|"50°55'59.9"" N"|"6°57'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|158|JK|14.8|24.4|5.4|838.6|-23.4|2104000|5
Colombo|Colombo|South Asia|1|Sri Lanka|"6°55'55.0"" N"|"79°50'52.1"" E"|2|Tropical monsoon climate|159|JL|30.6|31.8|30|2523.7||2180000|1
Columbus,_Ohio|Columbus, Ohio|North America|237|United States of America|"39°57'40.0"" N"|"82°59'56.0"" W"|2|Humid subtropical / humid continental (hot summer, wet all year) climate|160|JM|16.9|29.4|2.5|998.5||1481000|5
Conakry|Conakry|Africa|324|Guinea|"9°32'6.0"" N"|"13°41'16.1"" W"|2|Tropical monsoon / tropical savanna climate|161|JN|31.9|33.6|29.9|3784||1930000|0
Copenhagen|Copenhagen|Europe|8|Denmark|"55°40'0.1"" N"|"12°34'59.9"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|162|JO|12.2|22|3.3|643||1248000|5
Córdoba,_Argentina|Córdoba, Argentina|South America|410|Argentina|"31°23'60.0"" S"|"64°10'59.9"" W"|2|Humid subtropical (dry winter, wet summer) climate|163|JP|25.2|31.1|18.5|770.5|43.1|1585000|3
Cotonou|Cotonou|Africa|52|Benin|"6°20'60.0"" N"|"2°25'60.0"" E"|2|Tropical monsoon climate|164|JQ|30.1|31.9|27.8|1308.3||779314|0
Cucuta|Cucuta|South America|308|Colombia|"7°52'60.0"" N"|"72°30'19.1"" W"|2|Tropical monsoon climate|165|JR|31.8|33.6|29.7|863.3||833816|2
Cuiaba|Cuiaba|South America|198|Brazil|"15°34'59.9"" S"|"56°4'59.9"" W"|2|Tropical monsoon climate|166|JS|32.6|34.1|30.7|1315.1||551098|2
Culiacan|Culiacan|North America|71|Mexico|"24°47'57.8"" N"|"107°23'24.0"" W"|2|Hot semi-arid climate|167|JT|32.5|35.9|27.8|667.3|46|858638|2
Curitiba|Curitiba|South America|914|Brazil|"25°25'0.1"" S"|"49°15'0.0"" W"|2|Subtropical highland climate|168|JU|23.1|26.7|19.4|1483.5||3102000|2
Cuttack|Cuttack|South Asia|37|India|"20°30'0.0"" N"|"85°49'59.9"" E"|2|Tropical monsoon climate|169|JV|32.9|37.5|29|1800.3||766702|1
Da_Nang|Da Nang|South-East Asia|7|Viet Nam|"16°4'4.1"" N"|"108°13'15.6"" E"|2|Tropical monsoon climate|170|JW|29.9|34.3|24.8|2044.5||1007400|0
Dadiangas|Dadiangas|South-East Asia|10|Philippines|"6°6'46.0"" N"|"125°10'19.2"" E"|2|Tropical savanna climate|171|JX|32.1|33.4|31|1052||538086|1
Daejeon|Daejeon|North-East Asia|44|South Korea|"36°19'17.0"" N"|"127°25'12.0"" E"|2|Humid subtropical (dry winter, wet summer) / humid continental (hot summer, dry winter) climate|172|JY|18.4|29.8|4|1458.6||1564000|4
Dakar|Dakar|Africa|10|Senegal|"14°40'14.9"" N"|"17°26'17.2"" W"|2|Hot semi-arid / tropical savanna climate|173|JZ|27.6|30.4|24.6|494.3||3520000|0
Dalian|Dalian|North-East Asia|7|China|"38°54'43.9"" N"|"121°36'7.2"" E"|2|Humid continental (hot summer, dry winter) climate|174|KA|14.6|27.3|-0.4|601.9||4183000|3
Dallas|Dallas|North America|137|United States of America|"32°46'59.9"" N"|"96°47'60.0"" W"|2|Humid subtropical climate|175|KB|25|35.8|13.8|954.3|44.4|6174000|5
Damascus|Damascus|Middle East|692|Syrian Arab Republic|"33°30'0.0"" N"|"36°17'60.0"" E"|2|Cold semi-arid climate|176|KC|25.3|36.5|12.6|133.6|45|2560000|1
Dandong|Dandong|North-East Asia|1|China|"40°7'45.1"" N"|"124°23'42.0"" E"|2|Humid continental (hot summer, dry winter) climate|177|KD|14|27.8|-2.3|925.6||865576|1
Dar_Es_Salaam|Dar Es Salaam|Africa|1|Tanzania|"6°47'60.0"" S"|"39°16'59.9"" E"|2|Tropical savanna climate|178|KE|29.6|31|28|1066||4219000|1
Darwin,_Northern_Territory|Darwin, Northern Territory|Australia & New Zealand|31|Australia|"12°27'0"" S"|"130°50'0"" E"|2|Tropical savanna climate|179|KF|32|33.3|30.6|1729.6||146245|5
Dasmarinas|Dasmarinas|South-East Asia|83|Philippines|"14°19'45.8"" N"|"120°56'13.2"" E"|2|Tropical savanna climate|180|KG|30.9|33.4|29.3|1970||575817|1
Dasmarinas|Dasmarinas|South-East Asia|83|Philippines|"14°19'45.8"" N"|"120°56'13.2"" E"|2|Tropical savanna climate|181|KH|30.9|33.4|29.3|1970||575817|1
Datong|Datong|North-East Asia|1040|China|"40°2'30.1"" N"|"113°35'49.2"" E"|2|Cold semi-arid climate|182|KI|13.9|28.2|-3.4|371.6||1709000|1
Davao_City|Davao City|South-East Asia|695|Philippines|"7°4'23.0"" N"|"125°36'46.8"" E"|2|Tropical rainforest climate|183|KJ|31.9|33|30.9|1792.7||1630000|1
Dehra_Dun|Dehra Dun|South Asia|652|India|"30°19'0.1"" N"|"78°1'59.9"" E"|2|Tropical monsoon climate|184|KK|27.8|35.6|19.3|2208.9|43.9|714223|1
Delhi|Delhi|South Asia|215|India|"28°40'0.1"" N"|"77°13'0.1"" E"|2|Humid subtropical (dry winter, wet summer) / hot semi-arid climate|185|KL|31.2|39.2|21|790|47.2|16314838|1
Detroit|Detroit|North America|181|United States of America|"42°19'53.0"" N"|"83°2'44.9"" W"|2|Humid continental (hot summer, wet all year) climate|186|KM|14.9|28.6|0|850.3||3672000|4
Dhaka|Dhaka|South Asia|4|Bangladesh|"23°43'23.2"" N"|"90°24'31.0"" E"|2|Tropical monsoon climate|187|KN|30.6|33.7|25.4|2148||15669000|1
Diyarbakir|Diyarbakir|Europe|676|Turkey|"37°55'8.0"" N"|"40°12'38.2"" E"|2|Hot summer Mediterranean climate|188|KO|22.6|38.4|6.7|484.9||1300000|3
Dortmund|Dortmund|Europe|90|Germany|"51°31'0.1"" N"|"7°27'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|189|KP|13.5|22|4|838||575944|4
Douala|Douala|Africa|1|Cameroon|"4°3'1.0"" N"|"9°41'60.0"" E"|2|Tropical monsoon climate|190|KQ|30.7|32.8|27.7|3602.7||2940000|1
Dras|Dras|South Asia|3230|India|"34°25'41.35"" N"|"75°45'4.25"" E"|2|Continental Mediterranean / subarctic (cool summer, dry winter) climate|191|KR|8.9|24|-8|675.7|-46|1201|
Dresden|Dresden|Europe|111|Germany|"51°2'60.0"" N"|"13°45'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|192|KS|13.4|24.2|2.7|664|-25.3|1143197|4
Dubai|Dubai|Middle East|9|United Arab Emirates|"25°15'7.9"" N"|"55°16'48.0"" E"|1|Hot desert climate|193|KT|33.4|41.3|24|94.3|49|3933000|5
Dubayy|Dubayy|Middle East|53|United Arab Emirates|||2|Hot desert climate|194|KU|33.4|41.3|24|94.3|49|2106177|4
Dublin|Dublin|Europe|9|Ireland|"53°19'59.2"" N"|"6°14'56.0"" W"|1|Oceanic climate|195|KV|13.8|20.2|8.8|714.4||1160000|5
Duisburg|Duisburg|Europe|33|Germany|"51°25'59.9"" N"|"6°45'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|196|KW|12.9|22|4|934.8||486855|4
Dunedin|Dunedin|Australia & New Zealand|25|New Zealand|"45°52'0"" S"|"170°30'0"" E"|2|Oceanic climate|197|KX|14.7|18.9|10|737.6||124000|4
Durban|Durban|Africa|23|South Africa|"29°51'0.0"" S"|"31°1'0.1"" E"|2|Humid subtropical climate|198|KY|25.2|28|22.6|1009||3421000|2
Dusseldorf|Dusseldorf|Europe|37|Germany|"51°13'0.1"" N"|"6°46'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|199|KZ|14.8|24.3|5.6|797.6||6679000|5
Easter_Island|Easter Island|South America|303|Chile|"27°7'0"" S"|"109°22'0"" W"|3|Tropical rainforest climate|200|LA|24|27.3|21.2|1147.2||5563|
Edinburgh|Edinburgh|Europe|152|United Kingdom of Great Britain and Northern Ireland|"55°57'0.0"" N"|"3°12'0.0"" W"|2|Oceanic climate|201|LB|12.7|19.1|7|704.3||834648|5
Edmonton|Edmonton|North America|643|Canada|"53°32'60.0"" N"|"113°30'0.0"" W"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|202|LC|9.3|23.1|-6|455.8|-48.3|1040000|5
El_Paso|El Paso|North America|1200|United States of America|"31°45'31.0"" N"|"106°29'9.6"" W"|2|Hot desert climate|203|LD|25.3|35.3|13.9|246.7|45.6|836698|5
Elazig|Elazig|Europe|1067|Turkey|"38°40'31.1"" N"|"39°13'14.2"" E"|2|Continental Mediterranean climate|204|LE|19|34.3|2.9|408.9|-22.6|347857|2
Enugu|Enugu|Africa|152|Nigeria|"6°25'60.0"" N"|"7°28'60.0"" E"|2|Tropical monsoon climate|205|LF|32.3|35|30|1695||722664|1
Erzerum|Erzerum|Europe|1900|Turkey|"39°54'31.0"" N"|"41°16'36.8"" E"|2|Humid continental (mild summer, wet all year) climate|206|LG|12|27.2|-4|406.1|-41|367250|1
Esfahan|Esfahan|Middle East|1590|Iran|"32°39'34.9"" N"|"51°40'17.0"" E"|2|Cold semi-arid climate|207|LH|23|36.4|8.8|112.5||1547241|2
Eskisehir|Eskisehir|Europe|799|Turkey|"39°46'36.1"" N"|"30°31'14.2"" E"|2|Continental Mediterranean climate|208|LI|17.3|29.1|3.8|374.5|-27.8|685135|2
Essaouira|Essaouira|Africa|415|Morocco|"31°30'47.2"" N"|"9°46'11.0"" W"|2|Warm summer Mediterranean climate|209|LJ|20|22.1|18.1|340.6||70000|1
Essen|Essen|Europe|100|Germany|"51°27'0.0"" N"|"7°1'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|210|LK|13.3|22.3|4.5|934.1||6679000|4
Faisalabad|Faisalabad|South Asia|175|Pakistan|"31°25'0.1"" N"|"73°4'59.9"" E"|2|Hot desert climate|211|LL|31.3|40.7|19.4|346||3560000|0
Faridabad|Faridabad|South Asia|197|India|"28°25'59.9"" N"|"77°19'0.1"" E"|2|Hot semi-arid / humid subtropical climate|212|LM|31.2|39|21|688||1404653|1
Fes|Fes|Africa|582|Morocco|"34°3'10.1"" N"|"4°58'58.0"" W"|2|Hot summer Mediterranean climate|213|LN|24.1|35.8|14.7|548.5||1193000|1
Fort_McMurray|Fort McMurray|North America|370|Canada|"56°43'35"" N"|"111°22'49"" W"|3|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|214|LO|7|23.7|-12.2|418.8|45.6|61374|5
Fort_Worth|Fort Worth|North America|199|United States of America|"32°43'31.1"" N"|"97°19'14.2"" W"|2|Tropical monsoon climate|215|LP|24.4|35.2|12.3|881.9|45|6174000|5
Foshan|Foshan|North-East Asia|12|China|"23°1'59.9"" N"|"113°7'1.2"" E"|2|Humid subtropical climate|216|LQ|26.3|32.8|18.3|1736.1||20597000|2
Frankfurt|Frankfurt|Europe|113|Germany|"50°7'0.1"" N"|"8°40'60.0"" E"|1|Oceanic / humid continental (mild summer, wet all year) climate|217|LR|14.8|25.5|4.2|629.3||1915000|5
Freetown|Freetown|Africa|15|Sierra Leone|"8°29'24.0"" N"|"13°14'3.1"" W"|2|Tropical monsoon / tropical savanna climate|218|LS|29.9|31.2|28.4|2945.3||1000000|0
Fresno|Fresno|North America|91|United States of America|"36°44'52.1"" N"|"119°46'15.6"" W"|2|Hot semi-arid climate|219|LT|24.8|36.9|12.7|292.09|46.1|930450|5
Fukuoka|Fukuoka|North-East Asia|14|Japan|"33°34'59.9"" N"|"130°24'0.0"" E"|2|Humid subtropical climate|220|LU|20.6|31.6|9.8|1632.4||2525000|4
Fuxin|Fuxin|North-East Asia|129|China|"42°0'56.2"" N"|"121°39'32.4"" E"|2|Humid continental (hot summer, dry winter) climate|221|LV|14.5|29.5|-4|502.7||689050|1
Fuzhou|Fuzhou|North-East Asia|22|China|"26°3'41.0"" N"|"119°18'21.6"" E"|2|Humid subtropical climate|222|LW|24.4|34.1|15.2|1393.5||3962000|1
Garoua|Garoua|Africa|214|Cameroon|"9°18'0.0"" N"|"13°24'0.0"" E"|2|Tropical savanna climate|223|LX|34.9|39.8|30.7|997.4||436932|0
Gaziantep|Gaziantep|Europe|859|Turkey|"37°3'33.8"" N"|"37°22'57.0"" E"|2|Hot summer Mediterranean climate|224|LY|21.9|35.6|8|558.4||1394000|1
Gdansk|Gdansk|Europe|15|Poland|"54°21'0.0"" N"|"18°40'0.1"" E"|2|Humid continental (mild summer, wet all year) climate|225|LZ|10.8|22|1|499||1080700|2
General_Santos_City|General Santos City|South-East Asia|15|Philippines|"6°6'46.0"" N"|"125°10'19.2"" E"|2|Tropical savanna climate|226|MA|32.1|33.4|31|1052||538086|1
Geneve|Geneve|Europe|374|Switzerland|"46°12'0.0"" N"|"6°10'0.0"" E"|2|Oceanic climate|227|MB|15.2|26.5|4.5|1006||915000|5
Genoa|Genoa|Europe|37|Italy|"44°25'0.1"" N"|"8°56'60.0"" E"|2|Humid subtropical / hot summer Mediterranean climate|228|MC|18.9|27.7|11.5|1079.2||594904|4
Ghom|Ghom|Middle East|925|Iran|"34°38'43.1"" N"|"50°52'50.9"" E"|2|Hot desert climate|229|MD|26|40.3|10.2|148.2|47|1374036|1
Gizeh|Gizeh|Africa|22|Egypt|"30°0'31.0"" N"|"31°12'43.9"" E"|2|Hot desert climate|230|ME|28.1|34.9|19.3|17|46|3628062|1
Glasgow|Glasgow|Europe|66|United Kingdom of Great Britain and Northern Ireland|"55°49'59.9"" N"|"4°15'0.0"" W"|2|Oceanic climate|231|MF|12.9|19.7|6.9|1245.3||1220000|5
Goiania|Goiania|South America|785|Brazil|"16°40'0.1"" S"|"49°16'0.1"" W"|2|Tropical monsoon climate|232|MG|29.8|31.9|28.7|1571.4||2206734|2
Gold_Coast,_Queensland|Gold Coast, Queensland|Australia & New Zealand|10|Australia|"28°0'0.0"" S"|"153°25'58.8"" E"|2|Humid subtropical climate|233|MH|25.1|28.6|21.1|1278.9||591473|5
Gomel|Gomel|Europe|144|Belarus|"52°26'30.1"" N"|"30°58'59.9"" E"|2|Humid continental (mild summer, wet all year) climate|234|MI|11.6|25.1|-2|626|-35|526872|1
Gorakhpur|Gorakhpur|South Asia|209|India|"29°26'60.0"" N"|"75°40'59.9"" E"|2|Tropical monsoon / humid subtropical climate|235|MJ|31.9|39.5|23.2|1228.1||4440895|1
Goteborg|Goteborg|Europe|18|Sweden|"57°43'0.1"" N"|"11°58'0.1"" E"|2|Humid continental (mild summer, wet all year) climate|236|MK|12.3|22.9|2.3|791|-26|549000|5
Guadalajara|Guadalajara|North America|1585|Mexico|"20°40'0.1"" N"|"103°19'58.8"" W"|2|Humid subtropical (dry winter, wet summer) climate|237|ML|27.9|32.5|24.7|1002.4||4603000|3
Guangzhou|Guangzhou|North-East Asia|10|China|"23°7'0.1"" N"|"113°15'0.0"" E"|2|Humid subtropical climate|238|MM|26.3|32.8|18.3|1736.1||20597000|3
Guarulhos|Guarulhos|South America|682|Brazil|"23°28'0.1"" S"|"46°31'59.9"" W"|2|Tropical monsoon climate|239|MN|24.6|28|21|1395||1299283|3
Guayaquil|Guayaquil|South America|80|Ecuador|"2°10'0.0"" S"|"79°54'0.0"" W"|2|Tropical savanna climate|240|MO|29.9|31|28|1025.8||2700000|1
Guilin|Guilin|North-East Asia|138|China|"25°16'59.9"" N"|"110°16'58.8"" E"|2|Humid subtropical climate|241|MP|23.1|32.8|11.5|1901.3||4747963|2
Guiyang|Guiyang|North-East Asia|1087|China|"26°34'59.9"" N"|"106°43'1.2"" E"|2|Humid subtropical (dry winter, wet summer) climate|242|MQ|19.8|28.5|8.8|1117.7||2955000|1
Gujranwala|Gujranwala|South Asia|250|Pakistan|"32°8'60.0"" N"|"74°10'59.9"" E"|2|Hot semi-arid climate|243|MR|30.8|40.8|19.1|581||2120000|0
Gulbarga|Gulbarga|South Asia|470|India|"17°19'59.9"" N"|"76°49'59.9"" E"|2|Hot desert climate|244|MS|32.4|38.5|29|777.4||543000|1
Guntur|Guntur|South Asia|36|India|"16°18'0.0"" N"|"80°27'0.0"" E"|2|Tropical monsoon climate|245|MT|34|47.3|29.2|905||1028667|1
Guwahati|Guwahati|South Asia|33|India|"26°10'59.9"" N"|"91°43'59.9"" E"|2|Humid subtropical (dry winter, wet summer) / tropical monsoon climate|246|MU|29.2|32.1|23.6|1722||1039000|1
Gwalior|Gwalior|South Asia|271|India|"26°13'25.0"" N"|"78°10'45.1"" E"|2|Humid subtropical (dry winter, wet summer) climate|247|MV|33.6|48.6|22.9|896.9||1208000|1
Ha_Noi|Ha Noi|South-East Asia|26|Viet Nam|"21°1'59.9"" N"|"105°50'60.0"" E"|2|Humid subtropical (dry winter, wet summer) climate|248|MW|27|32.9|19.3|1676.2||3715000|1
Hai_Phong|Hai Phong|South-East Asia|3|Viet Nam|"20°51'22.0"" N"|"106°40'55.2"" E"|2|Humid subtropical climate|249|MX|27.3|33|20|1577||1946000|0
Haikou|Haikou|North-East Asia|1909|China|"20°2'44.9"" N"|"110°20'31.2"" E"|2|Humid subtropical (dry winter, wet summer) climate|250|MY|28|33.1|21|1652.1||1981000|1
Halifax,_Nova_Scotia|Halifax, Nova Scotia|North America|30|Canada|"44°38'52"" N"|"63°34'17"" W"|2|Humid continental (mild summer, wet all year) climate|251|MZ|11.4|23.1|-0.1|1467.9|-26.1|408702|5
Hamadan|Hamadan|Middle East|1850|Iran|"34°47'46.0"" N"|"48°30'56.9"" E"|2|Continental Mediterranean climate|252|NA|19.3|34.9|2|323.7|-34|473149|2
Hamah|Hamah|Middle East|264|Syrian Arab Republic|"35°7'59.9"" N"|"36°45'0.0"" E"|2|Hot semi-arid climate|253|NB|24.7|36.2|11.4|352.7||312994|0
Hamamatsu|Hamamatsu|North-East Asia|14|Japan|"34°42'0.0"" N"|"137°43'58.8"" E"|2|Humid subtropical climate|254|NC|20.5|31.1|10.1|1809.3||1187000|5
Hamburg|Hamburg|Europe|3|Germany|"53°32'60.0"" N"|"10°0'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|255|ND|13.2|23.5|3.9|792.5|-29.1|2087000|5
Hamilton,_Ontario|Hamilton, Ontario|North America|92|Canada|"43°15'0.0"" N"|"79°49'59.9"" W"|2|Humid continental (mild summer, wet all year) climate|256|NE|13.1|27.3|-0.9|897.3|-28.3|721053|4
Hangzhou|Hangzhou|North-East Asia|18|China|"30°15'19.1"" N"|"120°10'8.4"" E"|2|Humid subtropical climate|257|NF|21.4|33.6|8.3|1438||7275000|3
Hanover|Hanover|Europe|63|Germany|"52°22'0.1"" N"|"9°43'0.0"" E"|2|Oceanic / humid continental (mild summer, wet all year) climate|258|NG|13.6|23.5|4|661.3|-24.3|1119032|4
Haora|Haora|South Asia|16|India|"22°35'21.1"" N"|"88°18'37.1"" E"|2|Tropical savanna climate|259|NH|31.8|36|26|1683.1||1072161|1
Harare|Harare|Africa|1483|Zimbabwe|"17°49'4.1"" S"|"31°2'40.9"" E"|2|Subtropical highland climate|260|NI|25.5|28.8|21.6|840.6||2203000|0
Harbin|Harbin|North-East Asia|168|China|"45°45'0.0"" N"|"126°39'0.0"" E"|2|Humid continental (hot summer, dry winter) / subarctic (cool summer, wet all year) climate|261|NJ|10.1|27.9|-12.5|524.4|-38.1|4815000|1
Hargeisa|Hargeisa|Africa|947|Somalia|"9°34'60.0"" N"|"44°4'0.1"" E"|2|Hot semi-arid climate|262|NK|28.1|31|23.7|413||1200000|0
Havana|Havana|North America|5|Cuba|"23°7'54.8"" N"|"82°21'51.1"" W"|2|Tropical monsoon climate|263|NL|28.8|31.6|25.8|1189.2||2130000|2
Hefei|Hefei|North-East Asia|18|China|"31°51'50.0"" N"|"117°16'51.6"" E"|2|Humid subtropical climate|264|NM|20.3|32|6.8|995.2||3665000|1
Hegang|Hegang|North-East Asia|197|China|"47°23'60.0"" N"|"130°22'1.2"" E"|2|Humid continental (hot summer, dry winter) / subarctic (cool summer, wet all year) climate|265|NN|8.4|26.5|-12.7|612.4|-34.5|743307|1
Helsinki|Helsinki|Europe|23|Finland|"60°10'32.2"" N"|"24°56'3.1"" E"|2|Humid continental (mild summer, wet all year) / subpolar oceanic climate|266|NO|9|21.5|-1.9|655|-34.3|1208000|5
Hengyang|Hengyang|North-East Asia|78|China|"26°53'17.2"" N"|"112°36'54.0"" E"|2|Humid subtropical climate|267|NP|22.1|34.3|9|1351.6||759602|2
Hermosillo|Hermosillo|North America|195|Mexico|"29°4'0.1"" N"|"110°58'1.2"" W"|2|Hot desert climate|268|NQ|32.8|42|24|192|50|784342|2
Himeji|Himeji|North-East Asia|11|Japan|"34°49'0.1"" N"|"134°41'60.0"" E"|2|Humid subtropical climate|269|NR|19.6|31.5|8.8|1318||535945|5
Hims|Hims|Middle East|510|Syrian Arab Republic|"34°43'59.9"" N"|"36°43'0.1"" E"|2|Hot desert climate|270|NS|22.9|32.8|11.1|429.4||750501|1
Hiroshima|Hiroshima|North-East Asia|32|Japan|"34°23'60.0"" N"|"132°26'60.0"" E"|2|Humid subtropical climate|271|NT|20.9|32.5|9.7|1537.6||1377000|5
Ho_Chi_Minh_City|Ho Chi Minh City|South-East Asia|4|Viet Nam|"10°45'0.0"" N"|"106°40'1.2"" E"|2|Tropical monsoon climate|272|NU|32.3|34.6|30.8|1931||8957000|1
Hobart|Hobart|Australia & New Zealand|8|Australia|"42°52'50"" S"|"147°19'30"" E"|2|Oceanic climate|273|NV|16.9|21.7|11.7|615.2||217973|5
Hohhot|Hohhot|North-East Asia|1051|China|"40°48'38.2"" N"|"111°39'7.2"" E"|2|Cold semi-arid climate|274|NW|13.3|28.5|-5|398||2219000|2
Hong_Kong|Hong Kong|North-East Asia|89|Hong Kong|"22°16'59.9"" N"|"114°9'0.0"" E"|1|Humid subtropical (dry winter, wet summer) climate|275|NX|25.6|31.4|18.6|2398.4||7246000|4
Honolulu|Honolulu|North America|2|United States of America|"21°18'0"" N"|"157°49'0"" W"|2|Tropical monsoon climate|276|NY|29.1|31.5|26.7|434.34||953207|5
Houston|Houston|North America|15|United States of America|"29°45'47.2"" N"|"95°21'47.2"" W"|2|Humid subtropical climate|277|NZ|26.5|34.7|17.2|1264.16||5764000|5
Hubli|Hubli|South Asia|651|India|"15°20'60.0"" N"|"75°10'0.1"" E"|2|Tropical monsoon climate|278|OA|29.9|36|25.6|870||1349563|0
Hyderabad|Hyderabad|South Asia|494|India|"17°22'31.1"" N"|"78°28'27.8"" E"|2|Tropical savanna climate|279|OB|32.2|39|28|828.5|45.5|8754000|1
Ibadan|Ibadan|Africa|248|Nigeria|"7°23'16.0"" N"|"3°53'47.0"" E"|2|Tropical savanna climate|280|OC|31.2|34|27|1121||3160000|0
Indianapolis|Indianapolis|North America|222|United States of America|"39°46'5.9"" N"|"86°9'29.2"" W"|2|Humid continental (hot summer, wet all year) climate|281|OD|16.9|29.4|2|1078||1617000|5
Indore|Indore|South Asia|541|India|"22°43'0.1"" N"|"75°49'59.9"" E"|2|Humid subtropical (dry winter, wet summer) climate|282|OE|31.9|40.4|26.5|1062|46|2405000|1
Ipoh|Ipoh|South-East Asia|47|Malaysia|"4°34'60.0"" N"|"101°4'58.8"" E"|2|Tropical monsoon climate|283|OF|33|33.9|32.1|2427.9||1499000|2
Iqaluit|Iqaluit|North America|34|Canada|"63°44'55"" N"|"068°31'11"" W"|3|Tundra climate|284|OG|-5.5|12.3|-23.3|403.8|-45.6|6699|5
Iquitos|Iquitos|South America|107|Peru|"3°44'53.0"" S"|"73°14'49.9"" W"|2|Tropical rainforest climate|285|OH|31.4|32.1|30.4|2878.3||457865|1
Irbil|Irbil|Middle East|429|Iraq|"36°11'24.0"" N"|"44°0'32.0"" E"|2|Hot summer Mediterranean climate|286|OI|27.2|42|12.4|540|49.3|1500000|1
Irkutsk|Irkutsk|Russia & Central Asia|495|Russian Federation|"52°16'0.1"" N"|"104°19'58.8"" E"|2|Subarctic (cool summer, dry winter) climate|287|OJ|7.2|24.8|-12.9|477|-49.7|587891|3
Islamabad|Islamabad|South Asia|497|Pakistan|"33°42'0.0"" N"|"73°10'0.1"" E"|2|Humid subtropical (dry winter, wet summer) climate|288|OK|28.6|38.7|17.7|1142.1|46.6|2510000|1
Istanbul|Istanbul|Europe|157|Turkey|"41°1'7.0"" N"|"28°57'52.9"" E"|1|Hot summer Mediterranean climate|289|OL|17.5|26.7|8.5|808.3||13287000|3
Izhevsk|Izhevsk|Russia & Central Asia|133|Russian Federation|"56°51'0.0"" N"|"53°13'59.9"" E"|2|Humid continental (mild summer, wet all year) / subarctic (cool summer, wet all year) climate|290|OM|7.7|25.1|-8.9|510|-47.5|629455|3
Izmir|Izmir|Europe|559|Turkey|"38°24'25.9"" N"|"27°9'1.1"" E"|2|Hot summer Mediterranean climate|291|ON|22.7|33.2|12.4|690.1||3112000|3
Jabalpur|Jabalpur|South Asia|403|India|"23°10'0.1"" N"|"79°57'0.0"" E"|2|Humid subtropical climate|292|OO|31.7|40.4|24.5|1062||1339000|1
Jacksonville|Jacksonville|North America|7|United States of America|"30°19'54.8"" N"|"81°39'20.9"" W"|2|Humid subtropical climate|293|OP|26.3|33.3|18.2|1330.71||1154000|5
Jaipur|Jaipur|South Asia|428|India|"26°55'0.1"" N"|"75°49'0.1"" E"|2|Hot semi-arid climate|294|OQ|31.9|40.3|22.4|635.5|48.5|3409000|0
Jakarta|Jakarta|South-East Asia|1|Indonesia|"6°10'28.0"" S"|"106°49'44.4"" E"|1|Tropical monsoon climate|295|OR|31.8|33|29.9|1855||30539000|2
